원소명, ,Al,Si,S,K,Ca,Ba,Ti,Cr,Mn,Fe,Ni,Cu,W,Zn,Au,Hg,Bi,Se,As,Br,Pb,Sr,Mo,Ag,Cd,Sn,Sb,Ba_start,Ba_middle,Ba_end
원소명, ,Al,Si,S,K,Ca,Ba,Ti,Cr,Mn,Fe,Ni,Cu,W,Zn,Au,Hg,Bi,Se,As,Br,Pb,Sr,Mo,Ag,Cd,Sn,Sb,Ba_start,Ba_middle,Ba_end
 ,PAINTING_FAMILY_100-XRF.csv,369,1113,51477,4383,12491,2203,2181,3852,4948,31445,132,153,293,40635,1203,1286,1004,3359,881,1310,127305,679,177,471,11082,681,610,215,225,184
 ,PAINTING_FAMILY_101-XRF.csv,359,1060,53275,4252,14805,2082,1975,3932,4091,22521,120,157,250,24726,962,573,1212,2815,597,776,157849,558,126,308,10543,589,453,164,154,133
 ,PAINTING_FAMILY_102-XRF.csv,358,960,51865,4574,16036,2214,2245,4462,3933,23402,129,143,283,37938,1206,1441,1081,3545,1078,1451,142151,530,149,410,10547,523,575,161,202,141
 ,PAINTING_FAMILY_103-XRF.csv,451,1354,42917,6376,13222,2384,2456,3504,6430,50215,164,355,519,74756,1941,2843,1613,17800,1449,2460,167286,874,164,847,17718,792,1121,273,328,136
 ,PAINTING_FAMILY_104-XRF.csv,596,1083,51009,4028,15732,2095,1788,3522,4226,47975,218,136,437,33550,1257,2050,1312,14820,1421,2023,166904,847,273,765,18238,656,902,410,382,300
 ,PAINTING_FAMILY_105-XRF.csv,216,939,36053,6538,14450,3684,3070,4009,10350,79928,164,109,492,75166,2460,2734,1312,16187,1886,3472,148556,1093,410,601,18566,574,738,328,355,191
 ,PAINTING_FAMILY_106-XRF.csv,401,1387,43395,6183,22949,2646,2630,4967,8579,64309,118,155,288,36858,1078,2140,865,2762,1126,1735,109352,738,202,536,7919,619,503,236,220,182
 ,PAINTING_FAMILY_107-XRF.csv,325,1770,42664,5744,38582,2348,2709,5039,9374,72685,82,164,656,108498,2515,4320,1257,1968,2488,3390,165509,1312,191,656,5386,738,710,355,218,273
 ,PAINTING_FAMILY_108-XRF.csv,343,2312,40424,5581,16636,2312,2492,8290,17286,94902,136,300,355,39729,1503,2597,1230,2953,1667,2105,155966,874,218,683,7683,656,792,300,355,164
 ,PAINTING_FAMILY_109-XRF.csv,444,2269,28115,6661,27198,3482,3426,12318,16979,100670,160,224,461,65190,1604,1928,613,4420,1033,1536,83900,1063,269,595,4117,593,516,218,308,175
 ,PAINTING_FAMILY_110-XRF.csv,499,2498,25799,7107,34964,3254,3281,23517,20904,114809,146,218,266,34547,1023,2979,776,2995,1644,2237,99756,1046,249,511,3974,602,532,240,265,180
 ,PAINTING_FAMILY_111-XRF.csv,556,4066,16146,6953,36748,3101,3133,7177,36424,154424,156,198,218,27340,936,1390,784,2230,992,1279,105407,598,206,480,4179,545,474,201,241,166
 ,PAINTING_FAMILY_112-XRF.csv,582,3972,18778,6071,32745,3093,3180,9284,37357,160304,149,238,239,28297,835,1209,840,2255,1016,1276,119485,810,168,321,5400,484,399,179,182,117
 ,PAINTING_FAMILY_113-XRF.csv,699,4366,17871,6929,45123,5900,6660,12058,36191,157497,147,229,330,46995,1458,2055,675,3085,1116,1765,89409,645,251,526,4149,592,502,238,193,180
 ,PAINTING_FAMILY_114-XRF.csv,379,451,43856,1661,1914,1571,1896,3684,3215,4858,273,164,164,5523,437,1093,2023,2624,957,1531,291835,765,246,273,1777,437,355,328,355,218
 ,PAINTING_FAMILY_115-XRF.csv,307,722,62136,1499,1860,1734,1589,3305,2872,5346,218,218,191,20589,1175,1667,2269,2160,1285,1749,256945,683,246,601,2242,683,492,410,382,246
 ,PAINTING_FAMILY_116-XRF.csv,216,668,43080,1824,2583,1643,1914,5400,3486,5617,136,218,273,4484,546,1203,2187,2843,1339,1667,312507,546,82,464,3992,464,273,218,246,273
 ,PAINTING_FAMILY_117-XRF.csv,345,698,53147,1634,3031,1826,1732,4846,3194,4925,124,115,103,3611,364,660,1475,1515,583,892,194048,433,118,267,1785,749,309,246,179,163
 ,PAINTING_FAMILY_118-XRF.csv,269,506,37975,1470,2884,1708,1717,5044,3125,4871,121,134,123,3992,365,783,1437,1559,661,1007,188547,438,110,269,1963,664,301,179,140,99
 ,PAINTING_FAMILY_119-XRF.csv,361,921,42917,4136,10837,2257,2095,6267,3811,24240,191,136,820,136826,3226,2214,1148,4949,1421,2214,174122,738,191,683,10199,792,519,273,246,300
 ,PAINTING_FAMILY_120-XRF.csv,387,976,55969,3556,11168,2263,2213,3422,3946,18069,128,526,241,30613,1174,619,1219,3552,725,878,155602,536,116,300,9327,541,496,149,168,119
 ,PAINTING_FAMILY_121-XRF.csv,345,936,54369,3797,9890,1852,1917,3316,4042,16454,126,127,149,9135,533,589,1389,2712,567,781,180885,543,121,245,7591,609,296,130,163,105
 ,PAINTING_FAMILY_122-XRF.csv,366,949,58025,3774,10166,2169,2088,3394,3951,16979,138,316,146,8337,455,527,1454,3405,652,690,185631,510,93,254,10195,619,373,123,150,111
 ,PAINTING_FAMILY_123-XRF.csv,375,1033,53389,3150,13092,1994,1975,3567,4351,24112,136,551,265,35714,1205,761,1094,3355,797,985,142297,611,151,370,7642,598,502,161,217,148
 ,PAINTING_FAMILY_124-XRF.csv,390,926,56523,3983,11760,2232,2156,3533,4226,21128,127,405,263,29401,1119,592,1176,3000,710,867,151532,572,138,388,8728,576,431,153,179,138
 ,PAINTING_FAMILY_125-XRF.csv,340,1084,56055,2985,12555,2035,1952,3249,3721,20659,110,115,164,12711,580,673,1406,2213,552,859,177387,568,131,296,5525,646,363,154,197,109
 ,PAINTING_FAMILY_126-XRF.csv,390,983,52719,3671,19570,2467,2396,4126,4418,28485,128,151,367,54846,1760,1246,1035,2532,875,1373,132683,545,154,384,5871,541,517,175,197,130
 ,PAINTING_FAMILY_127-col-XRF.csv,361,1697,46313,5057,37968,3179,2763,3413,7514,65099,109,164,382,47960,1148,1749,1121,4292,1148,1832,175817,984,109,628,8640,601,628,355,492,246
 ,PAINTING_FAMILY_128-XRF.csv,505,2890,29424,4551,19923,2944,3594,13330,32386,144214,109,355,464,60592,1968,2023,820,2925,1558,2078,117057,957,355,874,6371,683,847,300,328,273
 ,PAINTING_FAMILY_129-XRF.csv,487,3576,31827,4696,21928,2890,2799,8345,33019,143402,164,328,218,30077,957,1859,1285,3062,1640,2050,186864,1039,246,574,5906,519,546,164,492,300
 ,PAINTING_FAMILY_130-XRF.csv,469,2998,34355,4840,15570,2474,2348,3269,17268,74419,164,218,246,36940,1503,628,1476,3992,656,1257,198485,683,136,410,11046,519,847,328,218,191
 ,PAINTING_FAMILY_131-XRF.csv,559,3070,34247,3522,15931,2510,2745,3468,25559,102363,136,273,328,43448,1367,1859,1449,4265,1531,2460,190282,929,273,574,9460,820,519,382,273,328
 ,PAINTING_FAMILY_132-XRF.csv,313,682,50010,1827,3047,1839,1857,3547,3099,6215,177,153,230,22143,878,878,1312,2647,731,1133,166168,435,167,330,2907,671,304,194,245,125
 ,PAINTING_FAMILY_133-XRF.csv,319,722,52724,1809,3536,1794,1838,3624,3065,9579,127,157,303,37262,1297,3645,1229,3467,1994,3167,139856,488,141,384,4558,577,412,182,184,131
 ,PAINTING_FAMILY_134-XRF.csv,180,740,51154,2077,3070,1697,1752,2817,2745,7658,218,328,355,41124,1804,3800,1667,4757,2406,4347,231215,765,136,546,8175,574,410,328,109,136
