원소명, ,Al,Si,S,K,Ca,Ba,Ti,Cr,Mn,Fe,Ni,Cu,W,Zn,Au,Hg,Bi,Se,As,Br,Pb,Sr,Mo,Ag,Cd,Sn,Sb,Ba_start,Ba_middle,Ba_end
원소명, ,Al,Si,S,K,Ca,Ba,Ti,Cr,Mn,Fe,Ni,Cu,W,Zn,Au,Hg,Bi,Se,As,Br,Pb,Sr,Mo,Ag,Cd,Sn,Sb,Ba_start,Ba_middle,Ba_end
 ,PAINTING_FAMILY_025-XRF.csv,352,890,40385,5791,20688,2265,2209,18677,5722,26195,136,151,354,46584,1406,1896,840,2760,1147,1583,109655,566,197,534,7623,545,478,213,259,151
 ,PAINTING_FAMILY_026-XRF.csv,361,912,45091,5158,22240,1982,2048,13237,5334,26926,114,147,401,50586,1422,1908,959,2013,986,1455,119169,679,225,489,5280,577,516,234,212,169
 ,PAINTING_FAMILY_027-XRF.csv,339,895,47882,4289,21316,1984,2000,5388,4853,22805,135,139,294,39319,1238,2810,1014,2069,1625,2468,132480,635,153,389,6350,584,503,213,217,167
 ,PAINTING_FAMILY_028-XRF.csv,332,914,46957,3888,19561,1887,1831,3985,3876,20790,137,174,332,51057,1571,848,1003,2775,719,906,130622,493,120,356,9766,495,453,187,190,150
 ,PAINTING_FAMILY_029-XRF.csv,331,851,41479,3872,10406,2191,2166,9072,5019,27797,130,190,512,71540,1854,2148,941,2857,1350,1972,121763,496,151,402,6906,568,570,200,182,124
 ,PAINTING_FAMILY_030-XRF.csv,411,1843,28695,8079,12755,3108,3142,12825,16868,75281,133,182,210,23429,851,2477,923,2631,1408,2075,119850,565,194,473,6955,631,474,239,212,163
 ,PAINTING_FAMILY_031-XRF.csv,438,1252,38877,9440,12907,2583,2515,6578,9001,53321,124,194,363,50986,1436,2339,552,2399,1245,1768,61220,622,416,765,8846,710,642,291,251,172
 ,PAINTING_FAMILY_032-XRF.csv,434,1921,18612,4005,147669,3215,3152,5595,15659,94422,152,1660,509,74546,1962,2893,383,1723,2265,2556,40854,974,381,727,4628,717,599,272,253,185
 ,PAINTING_FAMILY_033-XRF.csv,445,1905,19971,3920,147082,3136,3095,5022,14930,91715,116,1704,343,51548,1493,3899,674,1918,2880,3423,89727,923,213,413,3854,553,390,209,248,153
 ,PAINTING_FAMILY_034-XRF.csv,422,1637,17225,4907,118521,3602,3607,6808,9735,103249,127,1291,292,44634,1247,4141,735,2868,2306,2956,99117,863,225,475,4914,573,428,229,196,146
 ,PAINTING_FAMILY_035-XRF.csv,338,949,52031,6248,15027,2111,2176,7306,4698,26622,127,169,342,44638,1404,2253,946,2600,1281,1849,123460,678,178,485,7834,565,497,214,234,148
 ,PAINTING_FAMILY_036-XRF.csv,361,899,51865,4825,10970,1898,1925,7296,4327,21555,120,156,270,28741,1002,1930,1080,3077,1279,1881,135853,668,184,474,10916,570,535,228,207,144
 ,PAINTING_FAMILY_037-XRF.csv,523,3355,18623,6502,41332,3030,3155,12779,31095,144525,153,241,406,64178,1666,1714,628,5853,1053,1404,82697,651,228,536,5028,566,485,235,253,180
 ,PAINTING_FAMILY_038-XRF.csv,582,3585,15190,6558,38445,3027,3121,7825,39311,166244,131,259,229,34363,1058,1555,704,1666,1016,1596,95026,702,199,389,5470,505,415,179,183,154
 ,PAINTING_FAMILY_039-XRF.csv,565,3276,17402,6520,43006,3054,3173,14530,34479,153067,161,228,198,27164,734,1823,878,2826,1126,1654,124156,589,176,319,3067,460,267,170,145,132
 ,PAINTING_FAMILY_040-XRF.csv,432,1725,40119,9467,17812,2530,2645,13676,14216,63408,111,153,243,27874,923,1430,782,2530,920,1211,106180,674,262,605,7972,579,480,240,264,199
 ,PAINTING_FAMILY_041-XRF.csv,472,1734,39690,12798,17525,2430,2474,8996,12076,57187,113,189,409,49298,1438,1186,603,2116,762,975,70321,671,374,709,9640,646,596,279,268,176
 ,PAINTING_FAMILY_042-XRF.csv,389,1077,38374,7726,50651,2263,2314,6641,8016,45072,141,170,404,59960,1751,2698,587,1704,1482,2121,68620,758,377,782,6772,714,634,278,281,187
 ,PAINTING_FAMILY_043-XRF.csv,414,1499,36703,10907,40648,2460,2444,7045,10044,51756,113,150,334,43345,1329,5319,654,3312,2816,4316,72713,882,299,705,10103,642,634,270,311,160
 ,PAINTING_FAMILY_044-XRF.csv,421,2165,27760,7015,24985,3116,3111,16385,19586,101101,128,196,402,56344,1616,3363,499,6513,1786,2489,53200,788,404,767,5539,647,669,296,299,197
 ,PAINTING_FAMILY_045-XRF.csv,363,996,42832,4092,34469,2918,3109,12046,4541,18074,125,127,265,33383,1097,1353,1039,1962,895,1347,128252,627,220,511,4440,637,507,232,234,160
 ,PAINTING_FAMILY_046-XRF.csv,318,888,45408,5132,5871,1968,1903,17362,4795,24130,122,135,346,45859,1335,2170,872,6136,1244,1772,103547,518,238,596,6963,626,542,249,251,197
 ,PAINTING_FAMILY_047-XRF.csv,383,965,35106,8174,19669,2168,2264,10791,9758,67176,122,188,438,58862,1704,3214,535,3925,1649,2486,58244,667,398,713,6582,665,608,252,264,173
 ,PAINTING_FAMILY_048-XRF.csv,411,1422,37897,8778,19755,2230,2229,12137,12561,60835,111,171,379,49470,1462,2559,523,2002,1333,2115,61753,780,343,720,8510,677,611,252,236,186
 ,PAINTING_FAMILY_049-XRF.csv,459,1406,43948,14916,28432,2180,2186,11504,11285,51632,101,187,388,46363,1293,2498,553,1949,1252,1973,62024,1220,345,720,10772,665,660,264,268,174
 ,PAINTING_FAMILY_050-XRF.csv,444,1190,37046,8881,31440,2732,2792,24603,11073,54192,138,212,381,50347,1384,2034,497,3315,1123,1620,54309,749,406,893,18210,693,791,278,260,215
 ,PAINTING_FAMILY_051-XRF.csv,830,6990,39937,12192,15299,3757,3540,6827,10891,68657,109,218,792,97697,2488,4675,656,2953,2488,3308,67155,957,656,902,9980,765,820,464,382,246
 ,PAINTING_FAMILY_052-XRF.csv,457,1871,37809,12856,10465,2973,3055,15712,13888,59556,123,175,647,99387,2704,4368,516,2673,2023,3141,61748,588,312,642,7544,602,526,248,235,194
 ,PAINTING_FAMILY_053-XRF.csv,440,1152,35249,9149,10893,2389,2254,11847,12098,70279,119,161,312,39002,1192,2109,733,3160,1453,1943,98014,470,189,425,8242,512,443,194,200,137
 ,PAINTING_FAMILY_054-XRF.csv,492,1488,52918,20728,12166,2163,2135,7095,11626,48891,117,171,287,40540,1244,1401,670,1760,973,1211,85119,1293,314,590,11922,626,571,251,210,151
 ,PAINTING_FAMILY_055-XRF.csv,514,1619,54594,20820,13104,2037,2095,7333,12576,52909,112,175,313,40007,1206,2525,612,1638,1492,2069,75392,1971,310,686,15859,630,672,276,253,191
 ,PAINTING_FAMILY_056-XRF.csv,498,1819,48372,15766,12829,2892,2891,12171,14367,63705,109,150,382,52623,1407,1588,457,1778,881,1170,52939,1104,434,792,10064,720,649,258,277,196
 ,PAINTING_FAMILY_057-XRF.csv,394,764,53345,8309,12942,2050,1990,9531,5320,35995,119,150,388,49274,1474,1342,886,1716,1019,1331,101528,726,226,604,5864,683,579,278,317,197
 ,PAINTING_FAMILY_058-XRF.csv,439,1339,48686,9737,13413,2296,2336,9560,11955,53860,131,144,245,28776,941,1894,831,2868,1469,1866,97539,738,274,567,9212,663,583,210,284,150
 ,PAINTING_FAMILY_059-XRF.csv,367,1162,48417,7874,12327,2198,2150,6038,8950,36384,122,127,222,24141,825,1556,1070,3909,1164,1513,143450,611,147,348,7751,611,365,162,199,153
 ,PAINTING_FAMILY_060-XRF.csv,387,723,55793,11698,16438,3418,3219,6525,4636,23816,107,155,420,54988,1492,1421,769,2349,891,1206,88198,1074,268,542,10018,603,566,248,239,188
 ,PAINTING_FAMILY_061-XRF.csv,520,713,70621,33555,9206,1717,1756,5158,2839,4592,109,124,196,20691,624,660,1089,1509,573,845,152233,2772,139,354,20170,493,488,147,153,113
 ,PAINTING_FAMILY_062-XRF.csv,427,716,60017,20826,12091,2647,2577,5832,6000,26222,117,122,195,16681,577,873,1175,2153,892,1077,149748,1346,157,385,9775,551,405,198,207,136
 ,PAINTING_FAMILY_063-XRF.csv,472,1844,47430,14931,13562,2518,2500,10089,15678,74840,119,202,369,52672,1419,2332,489,1317,1307,1782,54135,1084,444,784,8652,686,682,269,348,168
 ,PAINTING_FAMILY_064-XRF.csv,505,1919,45598,14136,13013,2573,2485,14094,13722,66950,105,174,470,59718,1680,2304,480,1731,1159,1662,56167,895,448,814,7500,673,594,302,281,183
 ,PAINTING_FAMILY_065-XRF.csv,517,1955,45598,16786,15696,2499,2542,9795,16908,74620,133,206,313,44179,1229,1473,483,1931,895,1215,58265,1415,395,782,12270,650,646,250,293,177
 ,PAINTING_FAMILY_066-XRF.csv,326,939,46094,2000,3157,2010,1825,10746,4854,17598,122,149,139,11298,616,709,1232,1901,790,949,164209,441,146,356,3219,643,343,188,220,136
 ,PAINTING_FAMILY_067-XRF.csv,279,640,42252,2234,3091,1860,1948,7232,4043,10584,115,137,125,8061,487,775,1365,3517,707,943,175333,409,112,309,5394,575,310,168,150,119
 ,PAINTING_FAMILY_068-XRF.csv,333,739,40117,2260,3948,2200,2106,12502,4736,10475,157,131,243,20097,775,867,1332,2035,726,1091,169619,451,115,309,3125,666,357,185,182,148
 ,PAINTING_FAMILY_069-XRF.csv,343,1381,43692,2481,42032,2556,2521,4042,11896,65214,128,1484,241,28691,978,1336,905,4333,1465,1170,111948,651,211,488,5869,606,464,208,203,170
 ,PAINTING_FAMILY_070-XRF.csv,335,720,58431,1686,9004,1883,1894,3877,3239,6547,116,116,136,7196,424,693,1449,1878,645,926,187799,473,114,255,2574,649,262,171,181,136
